Kod,Unvan,City,BagimsizDenetim,Url,centerAddress,electronicEmailAddress,internet,companyTime,bagimsizDenetimKurulusu,dahilOlduguEndeksler,Sektor,islemGorduguPazarlar
KOPOL,KOZA POLYESTER SANAYİ VE TİCARET A.Ş.,GAZİANTEP,PKF ADAY BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5806-koza-polyester-sanayi-ve-ticaret-a-s,Başpınar (Organize) OSB Mahallesi O.S.B. 4.Bölge 83414 Nolu Cadde No: 30 - Şehitkamil / Gaziantep,yatirimci@kozapolyester.com.tr,www.kozapolyester.com.tr,Süresiz,PKF ADAY BAĞIMSIZ DENETİM A.Ş.,"BIST 500 / BIST YILDIZ / BIST KATILIM TUM / BIST KATILIM 100 / BIST SINAİ / BIST TÜM-100 / BIST KİMYA, PETROL, PLASTİK / BIST HALKA ARZ / BIST TÜM",İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,YILDIZ PAZAR
KRGYO,KÖRFEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1610-korfez-gayrimenkul-yatirim-ortakligi-a-s,Altunizade Mahallesi Kısıklı Caddesi Aköz İş Merkezi Blok No: 14/1 İç Kapı No: 5 Üsküdar / İstanbul,info@korfezgyo.com.tr,www.korfezgyo.com.tr,Süresizdir,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,BIST TÜM-100 / BIST KATILIM TUM / BIST MALİ / BIST ANA / BIST GAYRİMENKUL YAT. ORT. / BIST 500 / BIST TÜM,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI,ANA PAZAR
KRSTL,KRİSTAL KOLA VE MEŞRUBAT SANAYİ TİCARET A.Ş.,İSTANBUL,YORUM BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1011-kristal-kola-ve-mesrubat-sanayi-ticaret-a-s,Bahçelievler Mahallesi Fevzi Çakmak 2 Caddesi Güzelşehir Sitesi No:1 AJ Büyükçekmece/İSTANBUL,info@kristalkola.com.tr,www.kristalkola.com.tr,Süresiz,YORUM BAĞIMSIZ DENETİM A.Ş.,"BIST TÜM / BIST BALIKESİR / BIST GIDA, İÇECEK / BIST TÜM-100 / BIST ANA / BIST 500 / BIST KATILIM TUM / BIST SINAİ","İMALAT / GIDA, İÇECEK VE TÜTÜN",ANA PAZAR
KRONT,KRON TEKNOLOJİ A.Ş.,İSTANBUL,KAVRAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1547-kron-teknoloji-a-s,"İ.T.Ü. Ayazağa Kampüsü, Koru Yolu, ARI 3 Binası, Teknokent, No:B401, 34469 Maslak - İstanbul",yatirimci@krontech.com,"www.kron.com.tr , www.krontech.com",Süresiz,KAVRAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,BIST ANA / BIST BİLİŞİM / BIST TÜM / BIST TEKNOLOJİ / BIST KATILIM TUM / BIST TÜM-100 / BIST 500 / BIST İSTANBUL,TEKNOLOJİ / BİLİŞİM,ANA PAZAR
KTKVK,KT KİRA SERTİFİKALARI VARLIK KİRALAMA A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/2058-kt-kira-sertifikalari-varlik-kiralama-a-s,"Büyükdere Cad, No:129-1 Kat:3 Esentepe/ Şişli- İstanbul - TÜRKİYE",info@ktksvks.com.tr,www.ktksvks.com.tr,Süresiz,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,,,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
KSTUR,KUŞTUR KUŞADASI TURİZM ENDÜSTRİSİ A.Ş.,AYDIN,KAVRAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1588-kustur-kusadasi-turizm-endustrisi-a-s,BAYRAKLI DEDE MAHALLESİ / KUŞTUR TATİL KÖYÜ KUŞADASI / AYDIN,muhasebe@kusturclub.com,www.kusturclub.com,ŞİRKETİN SÜRESİ SINIRSIZDIR.,KAVRAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,BIST TÜM-100 / BIST TÜM,OTELLER VE LOKANTALAR / KONAKLAMA,PİYASA ÖNCESİ İŞLEM PLATFORMU
KUVVA,KUVVA GIDA TİCARET VE SANAYİ YATIRIMLARI A.Ş.,İSTANBUL,ELİT BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1070-kuvva-gida-ticaret-ve-sanayi-yatirimlari-a-s,Söğütlüçeşme Mah. 1. Fevzi Çakmak Cad. No. 16. İç Kapı No.1 Küçükçekmece/ İstanbul,serve@serve.com.tr,www.serve.com.tr,Süresiz,ELİT BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET,YAKIN İZLEME PAZARI
KUYAS,KUYAŞ YATIRIM A.Ş.,İSTANBUL,AKADEMİK BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1619-kuyas-yatirim-a-s,Yeşilköy Mahallesi Serbesti Caddesi No:11/1 Bakırköy / İstanbul,info@kuyas.com.tr,www.kuyas.com.tr,SÜRESİZDİR.,AKADEMİK BAĞIMSIZ DENETİM A.Ş.,BIST YILDIZ / BIST HİZMETLER / BIST KATILIM TUM / BIST TÜM-100 / BIST TÜM / BIST GERİ ALIM / BIST İSTANBUL / BIST 500 / BIST İNŞAAT,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ,YILDIZ PAZAR
KBORU,KUZEY BORU A.Ş.,AKSARAY,GÜNCEL BAĞIMSIZ DENETİM DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5911-kuzey-boru-a-s,KIRIMLI OSB MAH. MEHMETÇİK BUL. NO: 2 MERKEZ AKSARAY,yatirimci.iliskileri@kuzeyboru.com.tr,www.kuzeyboru.com.tr ; https://kuzeyboruyatirimciiliskileri.com/,SÜRESİZ,GÜNCEL BAĞIMSIZ DENETİM DANIŞMANLIK A.Ş.,"BIST TÜM / BIST HALKA ARZ / BIST TÜM-100 / BIST 500 / BIST KİMYA, PETROL, PLASTİK / BIST SINAİ / BIST YILDIZ / BIST KATILIM TUM / BIST KATILIM 100",İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,YILDIZ PAZAR
KZGYO,KUZUGRUP GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5857-kuzugrup-gayrimenkul-yatirim-ortakligi-a-s,Yenibosna Merkez Mah. 1. Asena Sok. F Sitesi Kuzu34 Plaza No 25 İç Kapı No 1 34197 Bahçelievler-İstanbul,info@kzgyo.com,www.kzgyo.com,Süresiz,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.,BIST HALKA ARZ / BIST 500 / BIST TÜM-100 / BIST MALİ / BIST TÜM / BIST GAYRİMENKUL YAT. ORT. / BIST YILDIZ,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI,YILDIZ PAZAR
KUTPO,KÜTAHYA PORSELEN SANAYİ A.Ş.,KÜTAHYA,RAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1012-kutahya-porselen-sanayi-a-s,ESKİŞEHİR KARAYOLU 8. KM. 43001 KÜTAHYA,iletisim@kutahyaporselen.com.tr,www.kutahyaporselen.com.tr,Süresiz,RAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,"BIST TAŞ, TOPRAK / BIST ANA / BIST TÜM-100 / BIST KATILIM TUM / BIST 500 / BIST TÜM / BIST SINAİ",İMALAT / TAŞ VE TOPRAĞA DAYALI,ANA PAZAR
KTSKR,KÜTAHYA ŞEKER FABRİKASI A.Ş.,KÜTAHYA,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5365-kutahya-seker-fabrikasi-a-s,Eskişehir Yolu Üzerinde Gaybiefendi Mahallesi Atatürk Bulvarı No:95 Merkez/KÜTAHYA,info@kutahyaseker.com.tr ---,www.kutahyaseker.com.tr,SÜRESİZ,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.,"BIST SINAİ / BIST GIDA, İÇECEK / BIST YILDIZ / BIST 500 / BIST TÜM-100 / BIST TÜM","İMALAT / GIDA, İÇECEK VE TÜTÜN",YILDIZ PAZAR
LIDER,LDR TURİZM A.Ş.,İSTANBUL,EDİT BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/4310-ldr-turizm-a-s,Maslak Mah. Eski Büyükdere Cad. Giz 2000 Plaza No:7 K:14 D:55-56 Sarıyer / İstanbul,info@liderfilo.com.tr,www.liderfilo.com.tr,Süresiz,EDİT BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.,BIST YILDIZ / BIST İSTANBUL / BIST TÜM / BIST HİZMETLER / BIST GERİ ALIM / BIST TÜM-100 / BIST 500 / BIST TEMETTÜ,İDARİ VE DESTEK HİZMET FAALİYETLERİ / KİRALAMA VE LEASING FAALİYETLERİ,YILDIZ PAZAR
LIDFA,LİDER FAKTORİNG A.Ş.,İSTANBUL,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1509-lider-faktoring-a-s,Büyükdere Cad. Maya Akar Center 100-102 K:25 No:96-97 PK:34394 Esentepe-Şişli/İSTANBUL,info@liderfaktoring.com.tr --- yatirimciiliskileri@liderfaktoring.com.tr,www.liderfaktoring.com.tr,Süresizdir,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,BIST FİN. KİR. FAKTORİNG / BIST MALİ / BIST 500 / BIST ANA / BIST KURUMSAL YÖNETİM / BIST TÜM-100 / BIST TÜM,MALİ KURULUŞLAR / FİNANSAL KİRALAMA VE FAKTORİNG ŞİRKETLERİ,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA) / ANA PAZAR
LILAK,LİLA KAĞIT SANAYİ VE TİCARET A.Ş.,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5953-lila-kagit-sanayi-ve-ticaret-a-s,Business İstanbul Merdivenköy Mahallesi Nur Sokak A-Blok No: 1A Kat: 16-17 Göztepe/ Kadıköy 34732 İstanbul Türkiye,info@lilakagit.com,www.lilakagit.com,Süresiz,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,"BIST 500 / BIST YILDIZ / BIST TÜM / BIST ORMAN, KAĞIT, BASIM / BIST HALKA ARZ / BIST KATILIM TUM / BIST TEKİRDAĞ / BIST KATILIM TEMETTU / BIST SINAİ / BIST TEMETTÜ / BIST TÜM-100",İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM,YILDIZ PAZAR
LMKDC,LİMAK DOĞU ANADOLU ÇİMENTO SANAYİ VE TİCARET A.Ş.,ŞANLIURFA,EREN BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5930-limak-dogu-anadolu-cimento-sanayi-ve-ticaret-a-s,KURTALAN ÇİMENTO FABRİKASI KURTALAN SİİRT,info@limakdoguanadolucimento.com --- sesendemir@limakdoguanadolucimento.com --- limakdoguanadolucimento@hs03.kep.tr,www.limakdoguanadolucimento.com,süresizdir,EREN BAĞIMSIZ DENETİM A.Ş.,"BIST KATILIM TUM / BIST HALKA ARZ / BIST 100-30 / BIST KATILIM 100 / BIST TAŞ, TOPRAK / BIST TÜM / BIST SINAİ / BIST 100 / BIST 500 / BIST YILDIZ / BIST KATILIM 50",İMALAT / TAŞ VE TOPRAĞA DAYALI,YILDIZ PAZAR
LINK,LİNK BİLGİSAYAR SİSTEMLERİ YAZILIMI VE DONANIMI SANAYİ VE TİCARET A.Ş.,İSTANBUL,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1015-link-bilgisayar-sistemleri-yazilimi-ve-donanimi-sanayi-ve-ticaret-a-s,"Kısıklı Caddesi No: 2 
Ak İş Merkezi A Blok Kat:2 
Altunizade Üsküdar 34662 
İstanbul",info@link.com.tr,www.link.com.tr,Süresizdir.,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.,BIST ANA / BIST TEKNOLOJİ / BIST KATILIM 100 / BIST TÜM / BIST TÜM-100 / BIST İSTANBUL / BIST BİLİŞİM / BIST KATILIM TUM / BIST 500,TEKNOLOJİ / BİLİŞİM,ANA PAZAR
LOGO,LOGO YAZILIM SANAYİ VE TİCARET A.Ş.,KOCAELİ,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1016-logo-yazilim-sanayi-ve-ticaret-a-s,Gebze Organize Sanayi Bölgesi Şahabettin Bilgisu Cad. No:609 Gebze Kocaeli,logo@logo.com.tr,www.logo.com.tr,Süresiz,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,BIST TÜM / BIST KATILIM 100 / BIST YILDIZ / BIST KOCAELİ / BIST KATILIM TUM / BIST TÜM-100 / BIST TEKNOLOJİ / BIST 500 / BIST KURUMSAL YÖNETİM / BIST KATILIM TEMETTU / BIST SÜRDÜRÜLEBİLİRLİK KATILIM / BIST BİLİŞİM / BIST TEMETTÜ / BIST SÜRDÜRÜLEBİLİRLİK / BIST GERİ ALIM,TEKNOLOJİ / BİLİŞİM,YILDIZ PAZAR
LKMNH,LOKMAN HEKİM ENGÜRÜSAĞ SAĞLIK TURİZM EĞİTİM HİZMETLERİ VE İNŞAAT TAAHHÜT A.Ş.,ANKARA,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1535-lokman-hekim-engurusag-saglik-turizm-egitim-hizmetleri-ve-insaat-taahhut-a-s,Kentpark Ofis Dumlupınar Bulvarı No:164/306 Çankaya-ANKARA,yatirimdanisma@lokmanhekim.com.tr,www.lokmanhekim.com.tr ve www.ir.lokmanhekim.com.tr,Süresiz,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,BIST KATILIM TUM / BIST 500 / BIST ANKARA / BIST ANA / BIST TEMETTÜ / BIST TÜM / BIST HİZMETLER / BIST KATILIM TEMETTU / BIST TÜM-100,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ / İNSAN SAĞLIĞI VE SOSYAL HİZMETLER,ANA PAZAR
LRSHO,LORAS HOLDİNG A.Ş.,KONYA,TTK BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1498-loras-holding-a-s,Musalla Bağları Mah.Kule Caddesi Kule Plaza Kat:36 No:2/62 Selçuklu/KONYA,info@lorasholding.com,www.lorasholding.com,Süresiz,TTK BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,BIST 500 / BIST HOLDİNG VE YATIRIM / BIST YILDIZ / BIST TÜM / BIST TÜM-100 / BIST MALİ / BIST KONYA,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ,YILDIZ PAZAR
LUKSK,LÜKS KADİFE TİCARET VE SANAYİİ A.Ş.,KAYSERİ,ÇÖZÜM ÜNLÜER BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1017-luks-kadife-ticaret-ve-sanayii-a-s,ORGANİZE SANAYİ BÖLGESİ 18.CADDE NO:30 MELİKGAZİ / KAYSERİ,ilker.ozdemir@lukskadife.com.tr --- tugba.sahin@lukskadife.com.tr,www.lukskadife.com.tr,Süresiz,ÇÖZÜM ÜNLÜER BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,"BIST TEKSTİL, DERİ / BIST KAYSERİ / BIST 500 / BIST TÜM-100 / BIST SINAİ / BIST TÜM / BIST KOBI SANAYİ / BIST ANA","İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ",ANA PAZAR
LYDHO,LYDİA HOLDİNG A.Ş.,İSTANBUL,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1035-lydia-holding-a-s,Levazım Mah. Vadi Cad. Zorlu Center No:2 İç Kapı No: 141 Beşiktaş/İstanbul,info@lydiaholding.com,www.lydiaholding.com,Sınırsız,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,BIST İSTANBUL / BIST KATILIM TUM / BIST YILDIZ / BIST TÜM / BIST 500 / BIST TÜM-100 / BIST MALİ / BIST HOLDİNG VE YATIRIM,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ,YILDIZ PAZAR
TETMT,LYDİA YEŞİL ENERJİ KAYNAKLARI A.Ş.,İSTANBUL,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1687-lydia-yesil-enerji-kaynaklari-a-s,Levazım Mah. Vadi Cad. Zorlu Center No:2 İç Kapı No: 141 Beşiktaş/İstanbul,info@lydiayesilenerji.com,www.lydiayesilenerji.com,Süresiz,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,BIST ELEKTRİK / BIST TÜM-100 / BIST HİZMETLER / BIST TÜM,"İMALAT / GIDA, İÇECEK VE TÜTÜN",ALT PAZAR
MACKO,MACKOLİK İNTERNET HİZMETLERİ TİCARET A.Ş.,İSTANBUL,RAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5679-mackolik-internet-hizmetleri-ticaret-a-s,Zühtüpaşa Mah. Şefikbey Sok. No:1 Kadıköy/İstanbul 34724,yatirimciiliskileri@mackolik.com,www.mackolik.com,Süresiz,RAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,BIST HİZMETLER / BIST TÜM-100 / BIST HALKA ARZ / BIST TEMETTÜ / BIST İSTANBUL / BIST TÜM / BIST 500 / BIST ANA,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ / SPOR EĞLENCE BOŞ ZAMANLARI DEĞERLENDİRME HİZMETLERİ,ANA PAZAR
MAKIM,MAKİM MAKİNA TEKNOLOJİLERİ SANAYİ VE TİCARET A.Ş.,ANKARA,VEZİN BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5562-makim-makina-teknolojileri-sanayi-ve-ticaret-a-s,"Erkunt Cd. No:20, 06935 Sincan Osb/Sincan/Ankara",info@makim.com.tr,https://www.makim.com.tr,Süresiz,VEZİN BAĞIMSIZ DENETİM A.Ş.,"BIST ANA / BIST TÜM-100 / BIST METAL EŞYA, MAKİNA / BIST 500 / BIST ANKARA / BIST KATILIM TUM / BIST TÜM / BIST SINAİ",İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI,ANA PAZAR
MAKTK,MAKİNA TAKIM ENDÜSTRİSİ A.Ş.,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1018-makina-takim-endustrisi-a-s,Kısıklı Mah. Ferah Cad. Yıldız Holding Placid Bloğu Blok No:1A Üsküdar/İSTANBUL,info@makinatakim.com.tr,www.makinatakim.com.tr,SÜRESİZ,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,"BIST ANA / BIST TÜM / BIST KOCAELİ / BIST METAL EŞYA, MAKİNA / BIST KATILIM TUM / BIST SINAİ / BIST TÜM-100 / BIST 500",İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI,ANA PAZAR
MANAS,MANAS ENERJİ YÖNETİMİ SANAYİ VE TİCARET A.Ş.,ANKARA,FİNANSAL EKSEN BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5357-manas-enerji-yonetimi-sanayi-ve-ticaret-a-s,A.S.O. 1. Organize Sanayi Bölgesi Anadolu Caddesi No: 25 06935 Sincan - Ankara,info@manas.com.tr,www.manas.com.tr,Süresiz,FİNANSAL EKSEN BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,BIST ANA / BIST ANKARA / BIST TÜM-100 / BIST TÜM / BIST BİLİŞİM / BIST KATILIM TUM / BIST 500 / BIST TEKNOLOJİ,TEKNOLOJİ / BİLİŞİM,ANA PAZAR
"MRBAS, MRS",MARBAŞ MENKUL DEĞERLER A.Ş.,İSTANBUL,PKF ADAY BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1324-marbas-menkul-degerler-a-s,ESENTEPE MAH. ECZA SOKAK SAFTER İŞ HANI NO:6 İÇ KAPI NO:7 ŞİŞLİ / İSTANBUL,iletisim@marbasmenkul.com.tr,www.marbasmenkul.com.tr,,PKF ADAY BAĞIMSIZ DENETİM A.Ş.,,,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
MAGEN,MARGÜN ENERJİ ÜRETİM SANAYİ VE TİCARET A.Ş.,ANKARA,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/5426-margun-enerji-uretim-sanayi-ve-ticaret-a-s,Kızılırmak Mah. 1450 Sk. ATM Plaza B Blok No:1/67 Çankaya / Ankara,info@margunenerji.com.tr,www.margunenerji.com.tr,Süresiz,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,BIST 500 / BIST GERİ ALIM / BIST SÜRDÜRÜLEBİLİRLİK / BIST HİZMETLER / BIST ANKARA / BIST TÜM / BIST ELEKTRİK / BIST YILDIZ / BIST TÜM-100,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR,YILDIZ PAZAR
MRMAG,MARKA MAĞAZACILIK A.Ş.,İSTANBUL,EREN BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/2698-marka-magazacilik-a-s,Ünalan Mah.Libadiye Cd.Emaar Square F Blok No:82F/10 Üsküdar İstanbul,,https://www.marksandspencer.com.tr,,EREN BAĞIMSIZ DENETİM A.Ş.,,,KESİN ALIM SATIM PAZARI-(NİTELİKLİ YATIRIMCILAR ARASINDA)
MARKA,MARKA YATIRIM HOLDİNG A.Ş.,İSTANBUL,AKADEMİK BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1403-marka-yatirim-holding-a-s,ORTABAYIR MAHALLESİ ŞAİR ÇELEBİ SOKAK GÜRTAŞ İŞ MERKEZİ APARTMANI NO:1/3 KAĞITHANE/İSTANBUL,info@markaholding.com.tr,www.markaholding.com.tr,SÜRESİZDİR.,AKADEMİK BAĞIMSIZ DENETİM A.Ş.,BIST HOLDİNG VE YATIRIM / BIST TÜM-100 / BIST MALİ / BIST İSTANBUL / BIST TÜM,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ,ALT PAZAR
MAALT,MARMARİS ALTINYUNUS TURİSTİK TESİSLER A.Ş.,ANTALYA,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1021-marmaris-altinyunus-turistik-tesisler-a-s,GENÇLİK MAHALLESİ FEVZİ ÇAKMAK CADDESİ NO:30 07100 MURATPAŞA/ANTALYA,Yatirimciiliskileri_maalt@divan.com.tr --- info.divanantalya@divan.com.tr --- talyaoteli@divan.com.tr,www.mares.com.tr,SÜRESİZ,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,BIST ANTALYA / BIST TURİZM / BIST YILDIZ / BIST TÜM / BIST HİZMETLER / BIST TÜM-100 / BIST 500,OTELLER VE LOKANTALAR / KONAKLAMA,YILDIZ PAZAR
MRSHL,MARSHALL BOYA VE VERNİK SANAYİİ A.Ş.,KOCAELİ,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1023-marshall-boya-ve-vernik-sanayii-a-s,"Dilovası Organize Sanayi Bölgesi 
1. Kısım Tuna Caddesi No:1
41455 Dilovası / Kocaeli / Türkiye",marshall.boya@hs02.kep.tr,www.marshallboya.com,Süresiz,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,"BIST KOCAELİ / BIST TÜM-100 / BIST ANA / BIST KİMYA, PETROL, PLASTİK / BIST SINAİ / BIST 500 / BIST TÜM",İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,ANA PAZAR
MRGYO,MARTI GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL,YORUM BAĞIMSIZ DENETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/ozet/1521-marti-gayrimenkul-yatirim-ortakligi-a-s,Ömer Avni Mah. İnönü Cad. Dersan Han No:46/3 Gümüşsuyu-Beyoğlu/İstanbul,info@martigyo.com,www.martigyo.com,SÜRESİZ,YORUM BAĞIMSIZ DENETİM A.Ş.,BIST GAYRİMENKUL YAT. ORT. / BIST MALİ / BIST YILDIZ / BIST 500 / BIST TÜM-100 / BIST TÜM,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI,YILDIZ PAZAR
